Account Name,Activity Date,Activity ID,Activity Name,Calculation1,FTEs,Hours this week,Covid Work,Datasource Filter,Hours last week,Manager ID,Manager,Name,Number of Records,Presales Activity Detail,Presales Activity Type,Time to Complete
Augue Eu Tempor Consulting,1/16/2020,27920AEA-E7C4-00FF-98D2-4F8DF404FCFD,"eu, accumsan sed, facilisis vitae,",6.5,0.060869565,,No,Yes,,013091 1803,Kaden A. Chase,Stephanie U. Perry,1,Training,Customer Success,8
Nonummy Ut Molestie LLC,3/30/2020,68B038E3-1A8D-0583-68DD-419C21E100BA,"Covid vestibulum nec, euismod in, dolor.",7,0.064673913,8.5,Yes,Yes,,958918 6171,Kyra C. Burnett,Solomon F. Hansen,1,General Help,Customer Success,8.5
Fringilla Mi Corp.,2/27/2020,017D315C-6ED3-AE1D-95A7-5D8204394277,"Covid amet, dapibus id, blandit at,",4.5,0.045652174,,Yes,Yes,,135236 7575,Mikayla K. Moore,Delilah A. Randolph,1,Analytics,Customer Success,6
Dui Suspendisse Associates,2/3/2020,CEE42537-F30B-30BF-5766-6C900EDF141F,"quis massa. Mauris vestibulum, neque",4.5,0.045652174,,No,Yes,,898143 5426,Sage X. Holland,Noble S. Patton,1,Analytics,Customer Success,6
Velit Pellentesque Corp.,1/22/2020,0D927CAF-9B2D-6097-2FC5-592AF25FFE03,Sed nec metus facilisis lorem,2,0.015217391,,No,Yes,,454976 0470,August K. Schroeder,Kylie Y. Mendez,1,General Help,Customer Success,2
Orci Quis Lectus Corporation,1/24/2020,A37A7A52-E86A-F0D0-8C3A-53BCC964E86A,magna. Cras convallis convallis dolor.,9,0.079891304,,No,Yes,,597626 9661,Luke D. Tyson,Conan O. Huffman,1,General Help,Customer Success,10.5
Sem Nulla LLC,1/22/2020,0EC35288-9DBE-CDBD-BE7F-F621BBCE5335,"velit. Cras lorem lorem, luctus",2.5,0.019021739,,No,Yes,,027502 3455,April F. David,Illana D. Hewitt,1,Analytics,Customer Success,2.5
Odio Aliquam LLP,2/28/2020,DF30A18A-E097-99EA-9188-E8D842C04EF6,"nunc risus varius orci, in",5,0.049456522,,No,Yes,,382361 9956,Buffy Y. Flynn,Brock K. Ramsey,1,General Help,Customer Success,6.5
Dolor Egestas Rhoncus Limited,2/5/2020,58D44A1B-04ED-2939-31CB-31E1CFA420F3,ac nulla. In tincidunt congue,4.5,0.045652174,,No,Yes,,197321 6201,James Z. Garrett,Darrel F. Hancock,1,Analytics,Customer Success,6
Eu Corporation,2/5/2020,C3D7F51B-8277-AB31-A012-C083372A1677,Covid eget ipsum. Suspendisse sagittis. Nullam,8.5,0.076086957,,Yes,Yes,,247621 9601,Dora I. Fields,Hedwig W. Duke,1,Analytics,Customer Success,10
Primis In Faucibus Incorporated,3/30/2020,523E5B24-9A68-C570-CC25-0B52E6E6E90E,"tellus, imperdiet non, vestibulum nec,",2,0.015217391,2,No,Yes,,568457 1762,Zorita A. Byers,Unity K. Singleton,1,General Help,Customer Success,2
Donec Consectetuer Mauris Incorporated,3/3/2020,4CCCA9FF-2566-95AC-390C-1EC463DD0CFA,Nam tempor diam dictum sapien.,1,0.007608696,,No,Yes,,682843 0840,Declan D. Puckett,Cheryl U. Perkins,1,Data Support,Customer Success,1
Augue Id Institute,3/31/2020,597A8406-2461-64BA-F425-A9BD7A964D1D,"nec tellus. Nunc lectus pede,",7.5,0.068478261,9,No,Yes,,728421 7630,Sage X. Holland,Noble S. Patton,1,General Help,Customer Success,9
Est Congue Corporation,3/17/2020,73566395-258E-A631-9B84-6A2C49C56F57,Proin dolor. Nulla semper tellus,4,0.041847826,,No,Yes,,657193 1002,Mara Y. Mann,Ulla Q. Carr,1,Analytics,Customer Success,5.5
Nec Ante Foundation,1/14/2020,2D659D15-99F3-ED13-653B-E52576F0092D,Duis a mi fringilla mi,5.5,0.053260870,,No,Yes,,927732 3789,Karen K. Cote,Caryn W. Weeks,1,Advanced Analysis,Customer Success,7
Elit Aliquam Corp.,2/27/2020,BF90F0BF-DACA-DF02-66AF-CE2309C7D0FD,mauris ut mi. Duis risus,4,0.030434783,,No,Yes,,457790 2267,May R. Henderson,Naida S. Peterson,1,Analytics,Customer Success,4
Purus Company,1/10/2020,03B55D34-BCC6-7E93-467A-75BA86D7D486,libero. Morbi accumsan laoreet ipsum.,3.5,0.026630435,,No,Yes,,096095 3503,Kelly C. Monroe,Grace A. Norman,1,Training,Customer Success,3.5
Augue Eu Tempor Consulting,1/23/2020,41B6DE3D-2171-0610-866F-6F48D5293887,"Covid malesuada id, erat. Etiam vestibulum",4.5,0.045652174,,Yes,Yes,,104533 7571,Kaden A. Chase,Stephanie U. Perry,1,Training,Customer Success,6
Purus Company,1/9/2020,3FD1529F-F668-2A84-DD4A-588AAC2AC90F,"est ac facilisis facilisis, magna",5.5,0.053260870,,No,Yes,,692128 6768,Kelly C. Monroe,Grace A. Norman,1,Training,Customer Success,7
Vitae Limited,2/27/2020,FFCF99D7-239B-2185-71ED-CB13D090EBF2,Covid Proin vel nisl. Quisque fringilla,8.5,0.076086957,,Yes,Yes,,372137 1650,Zorita A. Byers,Cora E. Lawson,1,Analytics,Customer Success,10
Nisi Nibh Ltd,1/15/2020,161C2889-D849-4ED1-DCF5-C367253804A9,"eu, placerat eget, venenatis a,",5.5,0.053260870,,No,Yes,,577460 0059,James Z. Garrett,Roanna B. Langley,1,Analytics,Customer Success,7
Duis Ltd,3/6/2020,2E3A8872-B76B-920A-1E3B-6D38363F6FCE,Covid augue id ante dictum cursus.,3.5,0.038043478,,Yes,Yes,,273887 9069,Neil K. Sherman,Jaquelyn X. Frost,1,Advanced Analysis,Customer Success,5
Pede Ultrices A Incorporated,1/28/2020,F3364FFC-F74E-A6B1-02D1-FC1584109B9B,"placerat, augue. Sed molestie. Sed",6.5,0.060869565,,No,Yes,,588676 8786,Libby C. Mclean,Galvin Y. Pruitt,1,Analytics,Customer Success,8
Augue Id Institute,1/28/2020,7715FE48-7550-E663-708A-54DBE3C5675D,"Covid Phasellus libero mauris, aliquam eu,",9,0.079891304,,Yes,Yes,,553000 0834,Sage X. Holland,Noble S. Patton,1,Analytics,Customer Success,10.5
Hendrerit Institute,3/5/2020,F3C5A3EF-724D-9F75-39C5-83662CE11EA3,auctor odio a purus. Duis,6.5,0.060869565,,No,Yes,,693356 6256,Kelly C. Monroe,Grace A. Norman,1,Training,Customer Success,8
Pede Cum Sociis Institute,3/10/2020,0010277C-4EFB-9644-81E8-6FE8F3418315,Nullam nisl. Maecenas malesuada fringilla,4,0.041847826,,No,Yes,,165265 6370,James Z. Garrett,Roanna B. Langley,1,Advanced Analysis,Customer Success,5.5
Enim Etiam Gravida Institute,3/27/2020,746AF2DB-4B3E-5A64-3168-5681FB434A65,"ornare, elit elit fermentum risus,",5.5,0.053260870,,No,Yes,7,317421 6691,Ina E. Cochran,Cole J. Wilkinson,1,Training,Customer Success,7
Suscipit Nonummy Fusce LLC,2/12/2020,909EF504-10C2-9168-C88C-9563D1A3C6D2,ut odio vel est tempor,8.5,0.076086957,,No,Yes,,222253 8395,Mara Y. Mann,Ulla Q. Carr,1,Analytics,Customer Success,10
Lorem Ipsum Institute,2/7/2020,CAF5DAF9-D24D-C162-1813-F3F6F806E21E,Cras pellentesque. Sed dictum. Proin,5.5,0.053260870,,No,Yes,,083342 7925,Hadley J. Noel,Audrey M. Carey,1,Analytics,Customer Success,7
Nunc Nulla Consulting,1/27/2020,8D42771B-D155-3087-BC67-5C838F68DA9E,"Covid eget, ipsum. Donec sollicitudin adipiscing",2,0.015217391,,Yes,Yes,,155360 0055,Hadley J. Noel,Audrey M. Carey,1,Training,Customer Success,2
Sociis Inc.,3/9/2020,1D0BAFA7-5221-4F50-2981-06E4AB3F48F2,"Fusce diam nunc, ullamcorper eu,",5.5,0.053260870,,No,Yes,,796145 3755,Hadley J. Noel,Dennis A. Schultz,1,General Help,Customer Success,7
Felis Orci Adipiscing LLC,3/2/2020,5548AA2A-A5A7-AAAB-BB14-369AA45E701E,Covid ligula. Nullam feugiat placerat velit.,5.5,0.053260870,,Yes,Yes,,559817 6245,Leonard C. Ingram,Hilary C. Ingram,1,Advanced Analysis,Customer Success,7
Erat Eget Tincidunt Company,3/3/2020,3C2452B7-5C41-D8A9-1C4A-BCE534927ED3,"eget, dictum placerat, augue. Sed",2,0.015217391,,No,Yes,,992998 8914,Hashim E. Delacruz,Garrison Y. Hahn,1,Data Support,Customer Success,2
Sed Auctor Corporation,2/27/2020,4F55BE29-6AF2-15A1-32F0-103C192C31E8,Covid fringilla. Donec feugiat metus sit,2,0.015217391,,Yes,Yes,,786044 6611,August K. Schroeder,Jaime Y. Butler,1,General Help,Customer Success,2
A Ultricies Incorporated,1/17/2020,C0ED6129-5669-B72B-2CDC-E8B4C4B20406,"consequat auctor, nunc nulla vulputate",3.5,0.038043478,,No,Yes,,877804 0488,May R. Henderson,Keaton Z. Calderon,1,Training,Customer Success,5
Nullam Lobortis Quam Consulting,1/7/2020,8D657C3C-F187-9923-975D-408D64683050,"ante. Nunc mauris sapien, cursus",5.5,0.053260870,,No,Yes,,146353 9906,Wesley J. Hunt,Kaden J. Barlow,1,Advanced Analysis,Customer Success,7
Amet Ante Vivamus Consulting,2/27/2020,4F0B7EE0-C99A-DC5F-26DC-F2260D6F520A,mollis. Integer tincidunt aliquam arcu.,1.5,0.011413043,,No,Yes,,595309 9263,James Z. Garrett,Roanna B. Langley,1,Analytics,Customer Success,1.5
Enim Curabitur Massa Institute,3/17/2020,0A765C62-6916-E33F-A37F-3B94490A5A22,auctor velit. Aliquam nisl. Nulla,3.5,0.038043478,,No,Yes,,677074 7639,August K. Schroeder,Hayfa M. Joyce,1,Advanced Analysis,Customer Success,5
Non Ante Bibendum Corp.,3/13/2020,A92C5137-4B9D-BC8C-26DA-D7FF1DE7A764,Sed auctor odio a purus.,4,0.030434783,,No,Yes,,432629 1210,Buffy Y. Flynn,Georgia Q. Payne,1,Advanced Analysis,Customer Success,4
Ac Mattis Company,1/23/2020,5990B7E4-2B11-0E31-1E1A-EE560892FB00,ornare. In faucibus. Morbi vehicula.,5.5,0.053260870,,No,Yes,,519476 8544,Elliott C. Ortiz,Zenaida X. Sullivan,1,Analytics,Customer Success,7
Ante Maecenas Consulting,3/18/2020,84844FF1-46AB-1A80-D598-06EEA4B66CDE,"Donec elementum, lorem ut aliquam",4.5,0.045652174,,No,Yes,,537838 9224,Hashim E. Delacruz,Garrison Y. Hahn,1,Training,Customer Success,6
Libero Donec Corporation,3/10/2020,7D1E8127-B98E-21FF-955A-1FE6340B4E39,"blandit viverra. Donec tempus, lorem",5.5,0.053260870,,No,Yes,,845019 6079,Elliott C. Ortiz,Nathaniel K. Burton,1,Analytics,Customer Success,7
Augue Eu Tempor Consulting,1/13/2020,7D183982-372D-043A-CC3C-C0AD8A5C24D0,Covid lorem ac risus. Morbi metus.,7.5,0.068478261,,Yes,Yes,,092428 4680,Kaden A. Chase,Stephanie U. Perry,1,General Help,Customer Success,9
Laoreet Limited,1/24/2020,8A90CE8F-31D0-1CCA-FEDF-575B63538399,vestibulum. Mauris magna. Duis dignissim,6.5,0.060869565,,No,Yes,,538907 2330,Luke D. Tyson,Adrienne W. May,1,Analytics,Customer Success,8
Fusce Fermentum Fermentum Institute,3/12/2020,B0D28309-4F15-AABC-FAE0-CEADEA814CFD,Aliquam nec enim. Nunc ut,3.5,0.038043478,,No,Yes,,207734 1994,Lucian N. Rosales,Kellie Q. Melendez,1,Training,Customer Success,5
Diam Lorem Associates,3/19/2020,F4E47F3F-598E-0299-B676-F370562DEF4A,ac turpis egestas. Fusce aliquet,4,0.041847826,,No,Yes,,813631 3353,James Z. Garrett,Reed B. Spence,1,Advanced Analysis,Customer Success,5.5
Volutpat Nulla Foundation,3/4/2020,5D096759-C59A-A782-DCD8-88BB3C069B07,nascetur ridiculus mus. Proin vel,3,0.034239130,,No,Yes,,845513 5080,Mara Y. Mann,Cameron Y. Rose,1,Advanced Analysis,Customer Success,4.5
Vel Industries,3/26/2020,537EF3EB-3D96-2784-0A14-9E660B51B79B,"vitae, posuere at, velit. Cras",3.5,0.026630435,,No,Yes,3.5,514357 1510,Kaden A. Chase,Kitra Y. Gould,1,Analytics,Customer Success,3.5
In Corp.,3/11/2020,34D72912-D302-4176-E8CC-1A2F271475A4,turpis vitae purus gravida sagittis.,8.5,0.076086957,,No,Yes,,526121 8191,April F. David,Louis O. Ward,1,General Help,Customer Success,10
Adipiscing Consulting,1/16/2020,112FCE2D-580C-CD83-E17E-B804AB0EB7E1,id nunc interdum feugiat. Sed,6.5,0.060869565,,No,Yes,,792808 8470,Cherokee A. Oneal,Iris T. Rios,1,Analytics,Customer Success,8
Praesent Corporation,2/27/2020,766DA536-C465-FD4A-83FE-515FC4DB3491,egestas. Aliquam nec enim. Nunc,7.5,0.068478261,,No,Yes,,182451 7286,May R. Henderson,Fredericka U. Morton,1,General Help,Customer Success,9
Magna LLC,1/8/2020,6410A752-B7E6-7F39-F15F-FAE5FD495750,"arcu iaculis enim, sit amet",7,0.064673913,,No,Yes,,154560 3563,Kaden A. Chase,Ifeoma Z. Summers,1,Analytics,Customer Success,8.5
Mauris Corporation,2/27/2020,D93BB7D8-3B37-E75C-0A51-F3BA0EB260C0,"odio, auctor vitae, aliquet nec,",3,0.022826087,,No,Yes,,095828 4416,Benjamin H. Contreras,Shannon P. Stokes,1,General Help,Customer Success,3
Erat Eget Tincidunt Company,3/30/2020,E727565F-3DA7-661D-420F-322D8FDB99C0,"non, lobortis quis, pede. Suspendisse",4,0.030434783,4,No,Yes,,276202 6116,Rina Y. Ellison,Brennan G. Mcneil,1,General Help,Customer Success,4
Penatibus Et Magnis Industries,1/17/2020,2EB8CF89-BEB1-48DC-BE72-6362F4CB6454,"semper rutrum. Fusce dolor quam,",7,0.064673913,,No,Yes,,307384 7554,Neil K. Sherman,Gregory M. Lamb,1,Training,Customer Success,8.5
Ipsum Non Arcu Corporation,1/28/2020,38C1C673-7809-CDEE-5A2E-EBD5EEE22022,Sed et libero. Proin mi.,1.5,0.011413043,,No,Yes,,375863 4475,Neil K. Sherman,Jaquelyn X. Frost,1,Training,Customer Success,1.5
Adipiscing Non Incorporated,1/17/2020,4E4F047A-4526-6757-C2AD-7987325F9454,"Covid Lorem ipsum dolor sit amet,",2.5,0.019021739,,Yes,Yes,,598768 1896,Lucian N. Rosales,Bell L. Hendricks,1,Data Support,Customer Success,2.5
Pulvinar Arcu Et LLC,3/17/2020,C4AF3DB8-5A6C-713D-81B8-8ED54D232F39,"Covid ullamcorper. Duis cursus, diam at",3,0.022826087,,Yes,Yes,,715789 9902,Declan D. Puckett,Cheryl U. Perkins,1,Training,Customer Success,3
Sit Amet Metus PC,3/4/2020,9CF90BEB-477C-8891-E3EE-2506E93AA0AC,mauris sagittis placerat. Cras dictum,3.5,0.038043478,,No,Yes,,723405 8688,Holly P. Cameron,Dale C. Holmes,1,Analytics,Customer Success,5
Felis Ltd,2/12/2020,9CF72F54-50A6-9E08-604B-64801CC37DB7,penatibus et magnis dis parturient,5.5,0.053260870,,No,Yes,,859449 4992,Ina E. Cochran,Cole J. Wilkinson,1,Data Support,Customer Success,7
Eu Augue Porttitor Corporation,3/19/2020,81E789BE-31BF-5D85-5AB3-02944E01A9B5,"mi pede, nonummy ut, molestie",3.5,0.038043478,,No,Yes,,739206 0963,Kaden A. Chase,Stephanie U. Perry,1,Data Support,Customer Success,5
Massa Vestibulum Corp.,1/23/2020,48D4BCA0-B9CD-C7D5-D848-86FFFCFC0B56,"dui, in sodales elit erat",2,0.015217391,,No,Yes,,856041 4891,Chelsea D. Stone,Gregory Y. Fletcher,1,Analytics,Customer Success,2
Lorem Tristique Corp.,2/15/2020,73FCB6D2-0C76-AC53-2C98-E82A22C34D23,Covid nibh sit amet orci. Ut,1,0.007608696,,Yes,Yes,,705793 1888,Tasha V. Sellers,Dolan J. Mayo,1,General Help,Customer Success,1
Nullam Lobortis Quam Consulting,1/7/2020,B07DC2DC-D89B-D2F7-C15A-4AED23879302,"vulputate, posuere vulputate, lacus. Cras",8,0.072282609,,No,Yes,,795393 0018,Wesley J. Hunt,Kaden J. Barlow,1,Data Support,Customer Success,9.5
Et Incorporated,2/11/2020,47129BBB-017A-D8FD-C14F-2134B9A3CDB2,"lectus sit amet luctus vulputate,",6.5,0.060869565,,No,Yes,,939875 8459,Hilda Y. Merritt,Gwendolyn K. Brewer,1,Analytics,Customer Success,8
Rhoncus Donec Limited,2/27/2020,5441021F-6B53-3EE4-EBF8-6F9CB1785782,neque sed sem egestas blandit.,1.5,0.011413043,,No,Yes,,836847 3305,Dolan X. Russo,Eliana M. Morales,1,Training,Customer Success,1.5
Vitae Limited,3/9/2020,E2AFC242-7C10-F446-6C91-C9FF0844C653,a odio semper cursus. Integer,4.5,0.045652174,,No,Yes,,595662 6310,Declan D. Puckett,Cheryl U. Perkins,1,Analytics,Customer Success,6
Elit PC,1/20/2020,C01EA188-63BE-18C6-45A6-15BE705B4E73,"Covid conubia nostra, per inceptos hymenaeos.",1,0.007608696,,Yes,Yes,,063564 1988,Luke D. Tyson,Imani L. Maynard,1,Training,Customer Success,1
In Company,1/16/2020,222F87C8-D6AC-D617-F849-E626FF325C1C,"Covid eget, ipsum. Donec sollicitudin adipiscing",2.5,0.019021739,,Yes,Yes,,788688 8283,Mikayla K. Moore,Daryl M. Craig,1,General Help,Customer Success,2.5
Vitae Dolor Donec Institute,1/21/2020,D4A7BDFB-7843-8699-C560-8BBFBAEC96F5,Phasellus dapibus quam quis diam.,7.5,0.068478261,,No,Yes,,572451 2404,Hadley J. Noel,Audrey M. Carey,1,Advanced Analysis,Customer Success,9
Curabitur Ut Odio Associates,2/13/2020,6E0C82B9-F1F9-FAF4-C372-2A849408E332,Covid mus. Proin vel arcu eu,1,0.007608696,,Yes,Yes,,996729 1775,Luke D. Tyson,Jeremy F. Nash,1,Data Support,Customer Success,1
Vitae Institute,1/17/2020,D67FED04-8516-4C0A-4FD8-78E3AAEB76B7,pede nec ante blandit viverra.,3.5,0.038043478,,No,Yes,,695452 8037,April F. David,Jana L. Langley,1,Analytics,Customer Success,5
Commodo Hendrerit Corp.,3/23/2020,6831DC83-E30D-2087-2CF1-CDF45F2DCA36,Pellentesque habitant morbi tristique senectus,8.5,0.076086957,,No,Yes,10,186291 6853,Ori I. Patrick,Lenore V. Delaney,1,Advanced Analysis,Customer Success,10
Suspendisse Sed Ltd,2/5/2020,E420B2E1-B063-8040-E9ED-682D16BAB123,Covid consequat enim diam vel arcu.,2.5,0.019021739,,Yes,Yes,,205847 6223,Ina E. Cochran,Kasper R. Marshall,1,General Help,Customer Success,2.5
Mauris Industries,3/25/2020,D172CED4-2305-10DD-DE4A-19FECCEF15A8,malesuada fringilla est. Mauris eu,1.5,0.011413043,,No,Yes,1.5,127086 8357,Dolan X. Russo,Odysseus I. Vincent,1,General Help,Customer Success,1.5
Id Enim Industries,1/28/2020,2BD8EDBC-BAD9-5369-94A2-18A0BFFE1380,Cras interdum. Nunc sollicitudin commodo,3.5,0.026630435,,No,Yes,,894351 4870,Benjamin H. Contreras,Rudyard E. Finch,1,General Help,Customer Success,3.5
Mauris A Nunc Institute,3/18/2020,2281AFA5-9BCE-EC76-F426-E15BC80C48A2,"sed consequat auctor, nunc nulla",3,0.034239130,,No,Yes,,928563 9564,Neil K. Sherman,Hyacinth N. Rosales,1,Analytics,Customer Success,4.5
Porttitor Corporation,1/31/2020,9A90214B-84C7-58AA-79AB-4DE8FED2AE5B,Covid ridiculus mus. Proin vel nisl.,8.5,0.076086957,,Yes,Yes,,653662 5608,Malcolm L. Greer,Melodie K. Weber,1,Training,Customer Success,10
Purus Company,1/10/2020,E8934380-336A-258A-8823-A51664F26438,Covid fames ac turpis egestas. Fusce,3,0.022826087,,Yes,Yes,,593173 6119,Kelly C. Monroe,Grace A. Norman,1,Advanced Analysis,Customer Success,3
Cum Inc.,1/28/2020,94A570DA-D4B3-7A24-0029-4F56AE7F7A00,erat vel pede blandit congue.,3.5,0.038043478,,No,Yes,,338394 0404,Malcolm L. Greer,Wayne W. Roy,1,General Help,Customer Success,5
Purus Gravida Company,2/6/2020,5027409C-8B9E-4655-6A8C-178CAFDF431A,"eu lacus. Quisque imperdiet, erat",4,0.030434783,,No,Yes,,225113 2656,Tasha V. Sellers,Anastasia J. Myers,1,General Help,Customer Success,4
Feugiat Placerat Institute,1/27/2020,EF417F52-D709-BAD7-736D-5E0DABE62CC6,mattis. Integer eu lacus. Quisque,3,0.022826087,,No,Yes,,278231 8196,Belle J. Shaw,Mariko J. Elliott,1,Training,Customer Success,3
Lectus Institute,1/10/2020,0C11F344-CB7C-9D81-6C6C-23E820D55B3C,"ornare, libero at auctor ullamcorper,",3,0.034239130,,No,Yes,,959994 9345,Hilda Y. Merritt,Cailin C. Kane,1,General Help,Customer Success,4.5
Praesent Luctus LLP,3/10/2020,4D219597-2B8F-CA5D-9EFC-FE15E67B79D6,"Covid nec, euismod in, dolor. Fusce",5.5,0.053260870,,Yes,Yes,,319268 5836,April F. David,Louis O. Ward,1,Advanced Analysis,Customer Success,7
Maecenas LLC,3/4/2020,2F2DDDA5-48DB-C2AB-6D7E-9F4CA805367B,neque venenatis lacus. Etiam bibendum,3,0.034239130,,No,Yes,,825354 8864,Gareth I. Gardner,Bertha F. Roberson,1,Data Support,Customer Success,4.5
Erat Foundation,1/16/2020,84EF04FC-3DCE-8DB9-8286-E351708A2F6D,adipiscing elit. Curabitur sed tortor.,6.5,0.060869565,,No,Yes,,656951 4679,Benjamin H. Contreras,Rudyard E. Finch,1,Analytics,Customer Success,8
Cras Eget Nisi Corporation,3/17/2020,814DB327-93DD-6210-BF33-6DBD03909930,"Nunc lectus pede, ultrices a,",5.5,0.053260870,,No,Yes,,147043 2574,Coby G. Mckay,Ivy K. Benson,1,General Help,Customer Success,7
Risus Corporation,2/24/2020,D03CC212-2592-962D-8469-759E3CE834CC,dolor. Fusce feugiat. Lorem ipsum,8.5,0.076086957,,No,Yes,,448710 1315,Elliott C. Ortiz,Yuli L. Santana,1,General Help,Customer Success,10
Dictum Magna PC,3/3/2020,8740B246-985A-62F4-778F-23E068B4D19C,"vitae, posuere at, velit. Cras",2,0.015217391,,No,Yes,,857835 1523,Elliott C. Ortiz,Quentin N. Hendricks,1,General Help,Customer Success,2
Suspendisse Dui LLP,3/13/2020,A96B54FD-3754-17F2-D96B-D8573C543FA9,Etiam imperdiet dictum magna. Ut,4,0.030434783,,No,Yes,,446014 8358,Holly P. Cameron,Florence T. Bullock,1,General Help,Customer Success,4
Sed Auctor Corporation,3/10/2020,A25E8E30-9BA8-3EC1-BAD9-A772D4C79733,ante dictum cursus. Nunc mauris,5.5,0.053260870,,No,Yes,,603412 5523,August K. Schroeder,Jaime Y. Butler,1,General Help,Customer Success,7
Enim Suspendisse Aliquet Company,3/13/2020,D86919F2-CE92-24F5-6D3F-F268F03AA4D5,Covid aliquet molestie tellus. Aenean egestas,1.5,0.011413043,,Yes,Yes,,195358 6243,Luke D. Tyson,Aaron G. Foley,1,Data Support,Customer Success,1.5
Libero Nec Ligula LLP,1/27/2020,420991FB-1974-2383-AA2A-ADCE2F282F5E,Covid tincidunt pede ac urna. Ut,1.5,0.011413043,,Yes,Yes,,407152 0656,Mikayla K. Moore,Olivia G. Lamb,1,General Help,Customer Success,1.5
Diam Duis Industries,2/4/2020,FD1F36DC-4971-42C0-EFC5-525E28B7E0E4,"Covid porttitor vulputate, posuere vulputate, lacus.",4.5,0.045652174,,Yes,Yes,,216024 3735,Elliott C. Ortiz,Zenaida X. Sullivan,1,General Help,Customer Success,6
Tempor Arcu Ltd,1/7/2020,CCDC36EB-B903-0A45-5517-6476C68F87EC,ac turpis egestas. Fusce aliquet,7.5,0.068478261,,No,Yes,,766347 6146,Kaden A. Chase,Stephanie U. Perry,1,Analytics,Customer Success,9
Blandit Foundation,1/9/2020,C8604688-6C30-52D4-F922-C96F6A2BCBAE,justo. Praesent luctus. Curabitur egestas,6.5,0.060869565,,No,Yes,,049652 8662,Buffy Y. Flynn,Brock K. Ramsey,1,General Help,Customer Success,8
At Augue Incorporated,1/16/2020,E4EA368B-41F7-FCD5-A5A0-F2A98ECD7945,"Covid tellus. Phasellus elit pede, malesuada",2,0.015217391,,Yes,Yes,,076380 3699,Belle J. Shaw,Bernard K. Shepard,1,Training,Customer Success,2
Ac Mattis Semper Corp.,3/10/2020,227A23CD-EB94-62AF-7CB8-B5353364101A,Covid metus. In nec orci. Donec,8.5,0.076086957,,Yes,Yes,,043768 4079,Neil K. Sherman,Jaquelyn X. Frost,1,Advanced Analysis,Customer Success,10
Mattis Integer Eu LLC,1/31/2020,A5E5F2C2-9308-144E-C839-F0EB76D94956,ac tellus. Suspendisse sed dolor.,8.5,0.076086957,,No,Yes,,612853 0364,Karen K. Cote,Caryn W. Weeks,1,Data Support,Customer Success,10
Fusce Institute,2/26/2020,6C7346E5-30BA-2F02-151A-A1CBA1EEAFFA,diam luctus lobortis. Class aptent,4.5,0.045652174,,No,Yes,,128616 8008,May R. Henderson,Naida S. Peterson,1,General Help,Customer Success,6
Aliquet Magna A Consulting,1/21/2020,BCE80565-D063-DD20-D96C-B44194559D00,Covid lacus. Ut nec urna et,3,0.022826087,,Yes,Yes,,997661 5188,Kelly C. Monroe,Hedy P. Flores,1,Training,Customer Success,3
Sodales Institute,3/18/2020,E976199C-5CC4-1629-DF09-CADACA14CE94,"dolor sit amet, consectetuer adipiscing",3.5,0.038043478,,No,Yes,,715798 0694,Leonard C. Ingram,Gannon Y. Hancock,1,General Help,Customer Success,5
Hendrerit Neque Industries,2/5/2020,A8887851-787E-F010-5FE6-84F73804642F,et ultrices posuere cubilia Curae;,2,0.015217391,,No,Yes,,248948 0919,James Z. Garrett,Reed B. Spence,1,Analytics,Customer Success,2
Cras Eget Nisi Corporation,3/17/2020,25AA836D-63AB-FC71-1A54-9F451B74D387,sit amet ante. Vivamus non,4.5,0.045652174,,No,Yes,,294233 5809,Coby G. Mckay,Ivy K. Benson,1,Training,Customer Success,6
Est Nunc Laoreet LLC,2/18/2020,5A73B730-3DC4-86E0-D9EE-2AC5C03EFC30,"lacus, varius et, euismod et,",4,0.030434783,,No,Yes,,929782 4485,Lael W. Moore,Mollie Q. Morgan,1,Data Support,Customer Success,4
Arcu Et Associates,2/13/2020,1A2B579D-A50B-73D5-1C18-DD453CB0393A,"et, magna. Praesent interdum ligula",8.5,0.076086957,,No,Yes,,029699 8198,Elliott C. Ortiz,Yuli L. Santana,1,Analytics,Customer Success,10
Vitae Posuere Foundation,3/6/2020,E0BC0A11-FCE1-30CE-BB17-EB1DDE037B36,Covid et malesuada fames ac turpis,3.5,0.038043478,,Yes,Yes,,007066 5203,Sage X. Holland,Karly D. Clements,1,Advanced Analysis,Customer Success,5
Ac Company,1/10/2020,A061DF06-FAEE-7330-A95C-57A421D346FC,"mollis non, cursus non, egestas",1,0.007608696,,No,Yes,,137221 0227,Kyra C. Burnett,Quinn U. Santana,1,Training,Customer Success,1
Neque Sed Inc.,1/23/2020,0F9DD29B-5CAE-F356-45C1-A8DFA7E86829,"et, magna. Praesent interdum ligula",4.5,0.045652174,,No,Yes,,717120 4451,Dolan X. Russo,Eliana M. Morales,1,Training,Customer Success,6
Orci Luctus Et LLP,3/26/2020,EFE40C6D-0C36-AAD6-C628-462ED68840EA,"erat. Sed nunc est, mollis",6,0.057065217,,No,Yes,7.5,115476 1389,Gareth I. Gardner,Carl B. Hodges,1,General Help,Customer Success,7.5
