Abbreviation,Profitable?,Profit Ratio,City,Column,Customer Name,Customer Segment,Discount,Number of Records,Order Date (copy),Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Row,Sales,Ship Date,Ship Mode,Shipping Cost,State (Extract),State,Unit Price,Zip Code
WA,False,-11%,Kirkland,1.5,Stephanie Phelps,Consumer,0.03,1,11/23/2012,11/23/2012,11909,Not Specified,11,0.57,Technology,Wrap Bag,Accessory25,Telephones and Communication,-20.911,West,1652,2,194.174,11/25/2012,Regular Air,0.99,Washington,Washington,20.99,98034
IN,False,-59%,Schererville,7,Jennifer Braxton,Small Business,0.09,1,11/23/2012,11/23/2012,40835,High,14,0.77,Technology,Small Box,Keytronic Designer 104- Key Black Keyboard,Computer Peripherals,-326.97,Central,5751,3,551.18,11/25/2012,Regular Air,19.99,Indiana,Indiana,40.48,46375
IL,False,-59%,Urbana,6,Brad Eason,Small Business,0.09,1,11/24/2012,11/24/2012,55875,Critical,31,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-104.96,Central,7814,3,178.45,11/24/2012,Regular Air,4.69,Illinois,Illinois,5.98,61801
TX,False,-6%,Amarillo,4,Cynthia Arntzen,Home Office,0.01,1,11/24/2012,11/24/2012,48710,Medium,4,0.38,Office Supplies,Wrap Bag,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Paper,-1.73,Central,6842,7,29.24,11/25/2012,Regular Air,1.6,Texas,Texas,6.98,79109
OH,True,+19%,Westlake,8,Harold Ryan,Home Office,0.05,1,11/24/2012,11/24/2012,30726,Medium,35,0.57,Office Supplies,Small Box,Fellowes Mighty 8 Compact Surge Protector,Appliances,140.57,East,4313,3,725.15,11/25/2012,Regular Air,3.99,Ohio,Ohio,20.27,44145
IL,True,+38%,Alton,6,Allen Rosenblatt,Small Business,0.07,1,11/24/2012,11/24/2012,998,Not Specified,16,0.4,Office Supplies,Small Box,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,93.8,Central,161,3,248.26,11/25/2012,Regular Air,1.39,Illinois,Illinois,15.74,62002
TX,False,-3%,Carrollton,4,Erin Creighton,Corporate,0.04,1,11/24/2012,11/24/2012,17668,Medium,13,0.59,Technology,Small Box,Phone 918,Telephones and Communication,-69.784,Central,2433,7,2219.7325,11/25/2012,Express Air,5,Texas,Texas,205.99,75007
TX,True,+37%,Carrollton,4,Erin Creighton,Corporate,0.05,1,11/24/2012,11/24/2012,17668,Medium,24,0.39,Technology,Medium Box,Polycom VoiceStation 100,Office Machines,2574.12,Central,2432,7,6930.97,11/25/2012,Regular Air,13.99,Texas,Texas,300.98,75007
TX,True,+35%,Carrollton,4,Erin Creighton,Corporate,0.04,1,11/24/2012,11/24/2012,17668,Medium,49,0.45,Technology,Small Pack,"Maxell Pro 80 Minute CD-R, 10/Pack",Computer Peripherals,296.06,Central,2431,7,848.92,11/26/2012,Regular Air,1.99,Texas,Texas,17.48,75007
IL,True,+9%,Urbana,6,Brad Eason,Small Business,0,1,11/24/2012,11/24/2012,55875,Critical,50,0.42,Furniture,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,39.29,Central,7813,3,413.86,11/27/2012,Regular Air,4,Illinois,Illinois,7.59,61801
TX,False,-16%,Cloverleaf,4,Michelle Huthwaite,Home Office,0.05,1,11/24/2012,11/24/2012,32195,Medium,7,0.35,Office Supplies,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,-14.03,Central,4526,7,86.29,11/27/2012,Regular Air,6.97,Texas,Texas,11.58,77015
AZ,True,+16%,Oro Valley,3,Cindy Chapman,Consumer,0.09,1,11/24/2012,11/24/2012,10884,Low,24,0.55,Technology,Small Box,SC7868i,Telephones and Communication,416.673,West,1505,5,2525.9875,12/1/2012,Regular Air,8.99,Arizona,Arizona,125.99,85737
SC,False,-1%,Charleston,8.5,Saphhira Shifley,Consumer,0.02,1,11/25/2012,11/25/2012,55906,Critical,42,0.59,Office Supplies,Small Box,Desktop 3-Pocket Hot File®,Storage & Organization,-19.37,South,7819,6,2269.01,11/26/2012,Regular Air,19.99,South Carolina,South Carolina,54.1,29418
SC,True,+36%,Charleston,8.5,Saphhira Shifley,Consumer,0.06,1,11/25/2012,11/25/2012,55906,Critical,15,0.35,Office Supplies,Wrap Bag,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Paper,43.92,South,7818,6,120.52,11/26/2012,Regular Air,1.25,South Carolina,South Carolina,7.98,29418
SC,True,+5%,Charleston,8.5,Saphhira Shifley,Consumer,0.02,1,11/25/2012,11/25/2012,55906,Critical,49,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,14.841,South,7817,6,276.3,11/27/2012,Regular Air,2.99,South Carolina,South Carolina,5.58,29418
KS,False,-21%,Hays,5,Roy Skaria,Corporate,0.03,1,11/26/2012,11/26/2012,52035,High,29,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,-4437.91,Central,7298,5,20872.16,11/29/2012,Regular Air,24.49,Kansas,Kansas,699.99,67601
MN,False,-4%,Richfield,4.5,Art Ferguson,Corporate,0.02,1,11/27/2012,11/27/2012,5511,Critical,46,0.59,Office Supplies,Wrap Bag,DIXON Oriole® Pencils,Pens & Art Supplies,-5.54,Central,773,2,129.44,11/28/2012,Express Air,1.3,Minnesota,Minnesota,2.58,55423
ID,True,+39%,Twin Falls,2,Tim Brockman,Consumer,0.05,1,11/27/2012,11/27/2012,15074,Not Specified,27,0.38,Office Supplies,Small Box,Xerox 1932,Paper,369.48,West,2106,3,941.4,11/28/2012,Regular Air,5.09,Idaho,Idaho,35.44,83301
MN,True,+26%,Richfield,4.5,Art Ferguson,Corporate,0.02,1,11/27/2012,11/27/2012,5511,Critical,32,0.55,Technology,Small Box,StarTAC Series,Telephones and Communication,482.445,Central,774,2,1829.387,11/28/2012,Regular Air,3.9,Minnesota,Minnesota,65.99,55423
TN,False,-7%,Greeneville,7,Jennifer Ferguson,Corporate,0.06,1,11/27/2012,11/27/2012,39717,High,20,0.55,Office Supplies,Small Box,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage & Organization,-58.13,South,5604,5,835.48,11/29/2012,Regular Air,16.36,Tennessee,Tennessee,43.57,37743
WV,False,-23%,Clarksburg,7.5,Philip Fox,Home Office,0.09,1,11/28/2012,11/28/2012,37924,High,21,0.57,Office Supplies,Small Box,Model L Table or Wall-Mount Pencil Sharpener,Pens & Art Supplies,-80.53,East,5339,4,352.44,11/28/2012,Regular Air,8.65,West Virginia,West Virginia,17.99,26301
TN,True,+25%,Brentwood,7,Philip Fox,Home Office,0.05,1,11/28/2012,11/28/2012,37924,High,49,0.59,Office Supplies,Small Box,Economy Rollaway Files,Storage & Organization,2008.71,South,5338,5,8094.55,11/28/2012,Regular Air,19.99,Tennessee,Tennessee,165.2,37027
IL,True,+39%,Buffalo Grove,6,Charlotte Melton,Home Office,0.02,1,11/28/2012,11/28/2012,36707,Medium,47,0.39,Office Supplies,Wrap Bag,Staples Bulldog Clip,Rubber Bands,71.56,Central,5154,3,181.78,11/29/2012,Regular Air,0.71,Illinois,Illinois,3.78,60089
NY,False,-52%,Central Islip,9.5,Dennis Kane,Small Business,0.1,1,11/28/2012,11/28/2012,20710,High,31,0.68,Technology,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,-94.61,East,2872,2,180.7,11/29/2012,Regular Air,3.85,New York,New York,5.98,11722
OH,True,+2%,Steubenville,8,Chris Selesnick,Home Office,0.02,1,11/28/2012,11/28/2012,38947,Critical,20,0.48,Furniture,Small Box,DAX Clear Channel Poster Frame,Office Furnishings,4.91,East,5487,3,307.46,11/30/2012,Regular Air,7.4,Ohio,Ohio,14.58,43952
NY,True,+34%,Central Islip,9.5,Dennis Kane,Small Business,0.07,1,11/28/2012,11/28/2012,20710,High,26,0.39,Office Supplies,Small Box,Avery 494,Labels,22.71,East,2873,2,67.4,11/30/2012,Regular Air,0.5,New York,New York,2.61,11722
TX,False,-47%,Georgetown,4,Kelly Lampkin,Home Office,0.04,1,11/29/2012,11/29/2012,12258,Low,3,0.69,Furniture,Jumbo Drum,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Chairs & Chairmats,-264.94,Central,1697,7,561.65,11/29/2012,Delivery Truck,30,Texas,Texas,180.98,78626
NY,True,+17%,Coram,9.5,Dionis Lloyd,Small Business,0.07,1,11/29/2012,11/29/2012,57061,Low,6,0.39,Office Supplies,Small Box,Avery 51,Labels,6.22,East,7980,2,36.56,11/29/2012,Regular Air,0.5,New York,New York,6.3,11727
NY,True,+85%,Coram,9.5,Dionis Lloyd,Small Business,0.06,1,11/29/2012,11/29/2012,57061,Low,3,0.54,Furniture,Small Box,"Seth Thomas 13 1/2"" Wall Clock",Office Furnishings,46.84,East,7981,2,55.17,12/1/2012,Regular Air,5.03,New York,New York,17.78,11727
TX,True,+27%,Grand Prairie,4,Kelly Lampkin,Home Office,0.01,1,11/29/2012,11/29/2012,12258,Low,22,0.69,Furniture,Medium Box,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Office Furnishings,660.63,Central,1699,7,2431.13,12/3/2012,Regular Air,13.99,Texas,Texas,110.98,75051
OH,False,-36%,Sandusky,8,Sean O'Donnell,Corporate,0.08,1,11/29/2012,11/29/2012,36416,Low,44,0.37,Office Supplies,Small Box,Xerox 1998,Paper,-98.53,East,5109,3,276,12/3/2012,Regular Air,5.82,Ohio,Ohio,6.48,44870
OH,True,+5%,Sandusky,8,Sean O'Donnell,Corporate,0.04,1,11/29/2012,11/29/2012,36416,Low,46,0.55,Office Supplies,Wrap Bag,"Sanford Colorific Colored Pencils, 12/Box",Pens & Art Supplies,6.93,East,5110,3,132.01,12/3/2012,Regular Air,1.01,Ohio,Ohio,2.88,44870
TX,False,-94%,Grand Prairie,4,Kelly Lampkin,Home Office,0.06,1,11/29/2012,11/29/2012,12258,Low,2,0.56,Office Supplies,Large Box,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances,-52.54,Central,1698,7,55.6,12/4/2012,Regular Air,49,Texas,Texas,3.25,75051
TX,False,-4%,Grand Prairie,4,Kelly Lampkin,Home Office,0.05,1,11/29/2012,11/29/2012,12258,Low,27,0.53,Office Supplies,Wrap Bag,Advantus Map Pennant Flags and Round Head Tacks,Rubber Bands,-5.02,Central,1700,7,113.4,12/6/2012,Express Air,2,Texas,Texas,3.95,75051
NY,False,-17%,Coram,9.5,Dionis Lloyd,Small Business,0.04,1,11/29/2012,11/29/2012,57061,Low,21,0.38,Office Supplies,Small Box,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,-80.109,East,7979,2,470.79,12/6/2012,Regular Air,15.1,New York,New York,22.38,11727
PA,False,-7%,Harrisburg,9,Jim Sink,Corporate,0.09,1,11/30/2012,11/30/2012,39844,Not Specified,47,0.79,Office Supplies,Small Box,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,-286.47,East,5626,3,4387.24,12/1/2012,Regular Air,19.99,Pennsylvania,Pennsylvania,95.43,17112
CA,True,+25%,El Centro,2,Roland Fjeld,Corporate,0.07,1,11/30/2012,11/30/2012,38594,Medium,26,0.54,Technology,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,247.94,West,5431,5,1011.9,12/1/2012,Regular Air,1.99,California,California,39.48,92243
TX,False,-60%,Pasadena,4,Tamara Chand,Consumer,0.07,1,11/30/2012,11/30/2012,6592,Low,33,0.83,Office Supplies,Large Box,Tennsco Industrial Shelving,Storage & Organization,-971.36,Central,918,7,1621.1,12/2/2012,Express Air,35,Texas,Texas,48.91,77506
FL,False,-162%,Miami,8.5,Natalie Webber,Corporate,0.06,1,11/30/2012,11/30/2012,52070,Not Specified,29,0.41,Office Supplies,Wrap Bag,"Binney & Smith inkTank™ Erasable Pocket Highlighter, Chisel Tip, Yellow",Pens & Art Supplies,-109.94,South,7304,8,67.97,12/2/2012,Regular Air,5.2,Florida,Florida,2.28,33142
TX,False,-91%,Pasadena,4,Tamara Chand,Consumer,0.09,1,11/30/2012,11/30/2012,6592,Low,29,0.58,Office Supplies,Small Pack,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut","Scissors, Rulers and Trimmers",-177.17,Central,917,7,194.29,12/7/2012,Regular Air,8.37,Texas,Texas,6.84,77506
NY,True,+51%,Troy,9.5,Anne Pryor,Home Office,0.02,1,12/1/2012,12/1/2012,36355,Medium,6,0.53,Furniture,Small Box,"Seth Thomas 8 1/2"" Cubicle Clock",Office Furnishings,65.49,East,5098,2,129.5,12/1/2012,Regular Air,6.68,New York,New York,20.28,12180
NY,False,-70%,Troy,9.5,Anne Pryor,Home Office,0.09,1,12/1/2012,12/1/2012,36355,Medium,9,0.37,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,-42.9755,East,5097,2,61.43,12/1/2012,Express Air,7.78,New York,New York,5.4,12180
SC,False,-53%,Hilton Head Island,8.5,Laurel Beltran,Consumer,0,1,12/1/2012,12/1/2012,21635,Low,2,0.39,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,-34.4195,South,3003,6,65.31,12/1/2012,Regular Air,12.98,South Carolina,South Carolina,24.92,29915
GA,True,+37%,Tucker,8,Nick Zandusky,Small Business,0.02,1,12/1/2012,12/1/2012,46113,Not Specified,18,0.59,Furniture,Large Box,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Office Furnishings,945.54,South,6476,7,2567.13,12/2/2012,Express Air,24.49,Georgia,Georgia,136.98,30084
NY,False,-80%,Utica,9.5,Anne Pryor,Home Office,0.05,1,12/1/2012,12/1/2012,36355,Medium,43,0.55,Office Supplies,Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",-72.5,East,5100,2,90.93,12/2/2012,Regular Air,2.56,New York,New York,2.08,13501
NY,True,+12%,Troy,9.5,Anne Pryor,Home Office,0,1,12/1/2012,12/1/2012,36355,Medium,10,0.55,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,15.73,East,5099,2,125.95,12/2/2012,Regular Air,2.36,New York,New York,11.55,12180
IN,True,+16%,Lafayette,7,Harold Engle,Consumer,0.05,1,12/1/2012,12/1/2012,645,High,42,0.4,Office Supplies,Small Box,GBC Binding covers,Binders and Binder Accessories,89.4455,Central,105,3,557.85,12/3/2012,Regular Air,4.98,Indiana,Indiana,12.95,47905
WI,False,-16%,Greenfield,5.5,Michelle Ellison,Home Office,0.06,1,12/1/2012,12/1/2012,49668,Low,25,0.83,Office Supplies,Wrap Bag,Rubber Band Ball,Rubber Bands,-15.37,Central,6952,2,93.22,12/8/2012,Regular Air,0.94,Wisconsin,Wisconsin,3.74,53220
NY,False,-60%,East Massapequa,9.5,Laurel Elliston,Corporate,0.06,1,12/2/2012,12/2/2012,17317,Not Specified,7,0.38,Office Supplies,Small Box,Grip Seal Envelopes,Envelopes,-20.87,East,2392,2,34.66,12/4/2012,Regular Air,4.99,New York,New York,4.42,11758
TX,False,+0%,Flower Mound,4,Erin Ashbrook,Consumer,0.04,1,12/3/2012,12/3/2012,13479,High,13,0.56,Technology,Small Box,i470,Telephones and Communication,-1.628000000,Central,1875,7,2206.991,12/4/2012,Regular Air,5.26,Texas,Texas,205.99,75028
TX,False,-110%,Flower Mound,4,Erin Ashbrook,Consumer,0.09,1,12/3/2012,12/3/2012,13479,High,3,0.52,Technology,Small Box,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,-322.95,Central,1874,7,292.96,12/5/2012,Regular Air,19.99,Texas,Texas,99.99,75028
OH,True,+10%,Whitehall,8,Odella Nelson,Small Business,0.09,1,12/3/2012,12/3/2012,29889,Not Specified,44,0.51,Office Supplies,Wrap Bag,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",Pens & Art Supplies,23.87,East,4204,3,243.5,12/6/2012,Regular Air,1.67,Ohio,Ohio,5.98,43213
MS,True,+28%,Columbus,6.5,Carl Weiss,Consumer,0.1,1,12/3/2012,12/3/2012,15040,Low,48,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,114.02,South,2103,6,410.35,12/7/2012,Express Air,2.15,Mississippi,Mississippi,9.11,39701
RI,True,+24%,Providence,11.5,Noel Staavos,Home Office,0.07,1,12/4/2012,12/4/2012,1444,Medium,25,0.4,Office Supplies,Small Box,Xerox 1979,Paper,181.98,East,221,2,772.24,12/5/2012,Regular Air,8.74,Rhode Island,Rhode Island,30.98,02908
FL,False,-27%,Coconut Creek,8.5,Gary Hwang,Home Office,0.05,1,12/4/2012,12/4/2012,50275,Medium,31,0.37,Office Supplies,Small Box,Xerox 226,Paper,-56.39,South,7040,8,211.94,12/5/2012,Regular Air,5.84,Florida,Florida,6.48,33063
FL,False,-16%,Coconut Creek,8.5,Gary Hwang,Home Office,0.03,1,12/4/2012,12/4/2012,50275,Medium,5,0.38,Technology,Medium Box,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Office Machines,-1565.913,South,7039,8,9704.37,12/5/2012,Express Air,13.99,Florida,Florida,1938.02,33063
CT,False,-64%,Cheshire,11,Noel Staavos,Home Office,0.02,1,12/4/2012,12/4/2012,1444,Medium,2,0.36,Office Supplies,Small Box,Xerox 1984,Paper,-13.67,East,219,3,21.44,12/6/2012,Regular Air,8.74,Connecticut,Connecticut,6.48,06408
NJ,True,+6%,Englewood,10,Noel Staavos,Home Office,0.02,1,12/4/2012,12/4/2012,1444,Medium,24,0.58,Office Supplies,Small Box,Advantus Rolling Storage Box,Storage & Organization,24.33,East,220,3,416.4,12/6/2012,Regular Air,4.96,New Jersey,New Jersey,17.15,07631
AZ,False,-90%,Gilbert,3,Ashley Jarboe,Home Office,0.09,1,12/4/2012,12/4/2012,36069,Low,20,0.36,Office Supplies,Small Box,Xerox 1922,Paper,-92.01,West,5061,5,102.61,12/6/2012,Regular Air,7.44,Arizona,Arizona,4.98,85234
ME,True,+38%,Bangor,11.5,Noel Staavos,Home Office,0.06,1,12/4/2012,12/4/2012,1444,Medium,32,0.41,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,8249.86,East,217,0,21717.36,12/6/2012,Express Air,24.49,Maine,Maine,699.99,04401
VT,True,+11%,Burlington,10,Noel Staavos,Home Office,0.04,1,12/4/2012,12/4/2012,1444,Medium,13,0.59,Technology,Jumbo Drum,Okidata ML395C Color Dot Matrix Printer,Office Machines,1759.34,East,218,1,15823.27,12/7/2012,Delivery Truck,14.7,Vermont,Vermont,1360.14,05401
AZ,True,+24%,Gilbert,3,Ashley Jarboe,Home Office,0.09,1,12/4/2012,12/4/2012,36069,Low,13,0.4,Office Supplies,Small Box,"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Envelopes,107.74,West,5059,5,453.09,12/9/2012,Regular Air,6.66,Arizona,Arizona,35.94,85234
MO,True,+17%,Clayton,5.5,Brian Thompson,Home Office,0.07,1,12/4/2012,12/4/2012,16032,Low,35,0.48,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,75.61,Central,2216,4,436.98,12/11/2012,Regular Air,4.98,Missouri,Missouri,12.64,63105
AZ,True,+35%,Gilbert,3,Ashley Jarboe,Home Office,0,1,12/4/2012,12/4/2012,36069,Low,15,0.75,Furniture,Medium Box,Tenex Antistatic Computer Chair Mats,Office Furnishings,966.81,West,5060,5,2758.22,12/11/2012,Regular Air,13.99,Arizona,Arizona,170.98,85234
MO,False,-38%,Mehlville,5.5,Lycoris Saunders,Corporate,0.07,1,12/5/2012,12/5/2012,39015,Medium,11,0.37,Office Supplies,Small Box,Xerox 1994,Paper,-28.45,Central,5502,4,74.02,12/5/2012,Regular Air,5.74,Missouri,Missouri,6.48,63129
MO,True,+11%,Mehlville,5.5,Lycoris Saunders,Corporate,0.05,1,12/5/2012,12/5/2012,39015,Medium,13,0.56,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,567.59,Central,5501,4,5236.14,12/5/2012,Delivery Truck,12.06,Missouri,Missouri,399.98,63129
OH,False,-68%,Cuyahoga Falls,8,Ben Ferrer,Corporate,0.08,1,12/5/2012,12/5/2012,41185,Critical,2,0.36,Office Supplies,Small Box,Xerox 196,Paper,-12.83,East,5806,3,18.81,12/6/2012,Regular Air,7.96,Ohio,Ohio,5.78,44221
KS,False,-15%,Leavenworth,5,Sonia Sunley,Small Business,0,1,12/5/2012,12/5/2012,24737,High,26,0.37,Office Supplies,Small Box,Xerox 1995,Paper,-28.15,Central,3475,5,182.09,12/6/2012,Regular Air,5.19,Kansas,Kansas,6.48,66048
TX,False,-29%,Waco,4,Edward Nazzal,Home Office,0.05,1,12/5/2012,12/5/2012,46528,Medium,43,0.78,Furniture,Wrap Bag,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Office Furnishings,-865.98,Central,6538,7,2980.15,12/7/2012,Express Air,37.58,Texas,Texas,70.71,76706
TX,True,+20%,Laredo,4,Duane Huffman,Consumer,0.08,1,12/5/2012,12/5/2012,45824,Not Specified,44,0.57,Furniture,Large Box,Hon Olson Stacker Stools,Chairs & Chairmats,1232.79,Central,6443,7,6123.48,12/7/2012,Regular Air,24.49,Texas,Texas,140.81,78041
OK,False,-80%,Midwest City,4.5,Nat Gilpin,Consumer,0.09,1,12/5/2012,12/5/2012,16480,Not Specified,14,0.37,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,-69.529,Central,2286,6,87.23,12/7/2012,Express Air,7.78,Oklahoma,Oklahoma,5.4,73110
TN,False,-1%,Collierville,7,Roy Collins,Corporate,0.08,1,12/5/2012,12/5/2012,45959,Medium,15,0.38,Office Supplies,Small Box,GBC ProClick Spines for 32-Hole Punch,Binders and Binder Accessories,-2.6335,South,6454,5,201.74,12/7/2012,Express Air,7.17,Tennessee,Tennessee,12.53,38017
TN,True,+9%,Columbia,7,Roy Collins,Corporate,0,1,12/5/2012,12/5/2012,45959,Medium,35,0.41,Technology,Small Box,Zoom V.92 USB External Faxmodem,Computer Peripherals,155.17,South,6455,5,1822.13,12/7/2012,Regular Air,19.99,Tennessee,Tennessee,49.99,38401
PA,False,-6%,Chambersburg,9,Fred Wasserman,Home Office,0,1,12/5/2012,12/5/2012,24455,Not Specified,8,0.48,Technology,Small Pack,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,-10.59,East,3430,3,169.11,12/7/2012,Regular Air,1.99,Pennsylvania,Pennsylvania,20.89,17201
KS,False,-38%,Leavenworth,5,Sonia Sunley,Small Business,0.09,1,12/5/2012,12/5/2012,24737,High,3,0.59,Furniture,Jumbo Drum,Global Ergonomic Managers Chair,Chairs & Chairmats,-210.97,Central,3474,5,549.92,12/8/2012,Delivery Truck,26.2,Kansas,Kansas,180.98,66048
TX,True,+12%,Waco,4,Edward Nazzal,Home Office,0.01,1,12/5/2012,12/5/2012,46528,Medium,23,0.37,Office Supplies,Small Box,Xerox 1939,Paper,57.25,Central,6539,7,476.04,12/8/2012,Regular Air,9.54,Texas,Texas,18.97,76706
PA,True,+18%,Chambersburg,9,Fred Wasserman,Home Office,0.07,1,12/5/2012,12/5/2012,24455,Not Specified,41,0.51,Office Supplies,Wrap Bag,Fluorescent Highlighters by Dixon,Pens & Art Supplies,27.38,East,3431,3,152.59,12/8/2012,Regular Air,0.83,Pennsylvania,Pennsylvania,3.98,17201
LA,True,+13%,Terrytown,5.5,Aleksandra Gannaway,Corporate,0.04,1,12/6/2012,12/6/2012,36992,Medium,34,0.6,Office Supplies,Small Pack,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",61.57,South,5203,6,459.08,12/8/2012,Express Air,3.14,Louisiana,Louisiana,12.98,70056
MI,False,-2%,Holland,7.5,Patrick O'Brill,Home Office,0,1,12/6/2012,12/6/2012,8229,Medium,50,0.36,Office Supplies,Wrap Bag,"TOPS Voice Message Log Book, Flash Format",Paper,-4.69,Central,1124,2,241.01,12/8/2012,Regular Air,3.01,Michigan,Michigan,4.76,49423
MI,False,-14%,Holland,7.5,Patrick O'Brill,Home Office,0.04,1,12/6/2012,12/6/2012,8229,Medium,7,0.56,Technology,Jumbo Drum,Okidata ML520 Series Dot Matrix Printers,Office Machines,-502.8078,Central,1123,2,3565.27,12/8/2012,Delivery Truck,14.7,Michigan,Michigan,510.14,49423
FL,False,-229%,Hollywood,8.5,Sanjit Engle,Home Office,0.05,1,12/6/2012,12/6/2012,59365,Medium,1,0.59,Technology,Jumbo Drum,Epson LQ-870 Dot Matrix Printer,Office Machines,-1220.9145,South,8310,8,534.3,12/8/2012,Delivery Truck,14.7,Florida,Florida,535.64,33021
TX,True,+13%,Cloverleaf,4,Matt Collister,Home Office,0,1,12/6/2012,12/6/2012,54755,Critical,44,0.77,Technology,Small Box,Keytronic 105-Key Spanish Keyboard,Computer Peripherals,443.52,Central,7643,7,3421.88,12/9/2012,Regular Air,4,Texas,Texas,73.98,77015
VA,True,+34%,Alexandria,8,Georgia Rosenberg,Consumer,0.02,1,12/6/2012,12/6/2012,35457,Low,45,0.59,Office Supplies,Small Box,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Appliances,1102.58,South,4984,5,3286.27,12/13/2012,Regular Air,3.5,Virginia,Virginia,70.97,22304
NH,True,+34%,Laconia,11,Sylvia Foulston,Corporate,0.09,1,12/7/2012,12/7/2012,47617,Not Specified,17,0.4,Office Supplies,Small Box,Ibico Hi-Tech Manual Binding System,Binders and Binder Accessories,1680.9175,East,6691,1,5001.29,12/8/2012,Regular Air,19.99,New Hampshire,New Hampshire,304.99,03246
ID,True,+34%,Coeur D Alene,2,Shaun Chance,Corporate,0.05,1,12/7/2012,12/7/2012,37700,Critical,27,0.37,Office Supplies,Small Box,GBC Therma-A-Bind 250T Electric Binding System,Binders and Binder Accessories,1169.7105,West,5295,3,3390.51,12/10/2012,Express Air,19.99,Idaho,Idaho,122.99,83814
MA,True,+76%,South Hadley,10.5,Eleni McCrary,Corporate,0.05,1,12/8/2012,12/8/2012,51233,Low,3,0.42,Furniture,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",Office Furnishings,20.12,East,7179,2,26.5,12/8/2012,Regular Air,4,Massachusetts,Massachusetts,7.59,01075
IL,False,-91%,Batavia,6,Becky Castell,Consumer,0.06,1,12/8/2012,12/8/2012,50754,Not Specified,9,0.6,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,-58.344,Central,7111,3,64.0305,12/9/2012,Regular Air,5.03,Illinois,Illinois,7.99,60510
MI,True,+49%,Inkster,7.5,Patrick O'Brill,Home Office,0.04,1,12/8/2012,12/8/2012,8290,Critical,32,0.39,Office Supplies,Small Box,Avery 48,Labels,101.8,Central,1134,2,209.02,12/10/2012,Regular Air,0.5,Michigan,Michigan,6.3,48141
WI,False,-47%,West Bend,5.5,Victoria Wilson,Home Office,0.03,1,12/8/2012,12/8/2012,41765,Medium,41,0.37,Office Supplies,Small Box,Cardinal Holdit Business Card Pockets,Binders and Binder Accessories,-95.9905,Central,5887,2,204.99,12/10/2012,Regular Air,4.95,Wisconsin,Wisconsin,4.98,53095
